MUNCODMUN;"MUNNOMMUN";CALCODCAL;"CALCODSIG";"CALNOMCAL";"CALNOMCOR"
44;"OVIEDO                                            ";769;"CALLE";"SARIEGO                                           ";"SARIEGO                  "
44;"OVIEDO                                            ";476;"CALLE";"SATURNINO FRESNO                                  ";"SATURNINO FRESNO         "
44;"OVIEDO                                            ";477;"CALLE";"SAUCES LOS                                        ";"SAUCES LOS               "
44;"OVIEDO                                            ";478;"CALLE";"SCHULTZ                                           ";"SCHULTZ                  "
44;"OVIEDO                                            ";479;"PSAJE";"SEBASTIAN MIRANDA                                 ";"SEBASTIAN MIRANDA        "
44;"OVIEDO                                            ";480;"AVDA ";"SEGADAS DE LAS                                    ";"SEGADAS DE LAS           "
44;"OVIEDO                                            ";2009;"LUGAR";"SEGADAS LAS                                       ";"SEGADAS LAS              "
44;"OVIEDO                                            ";481;"CALLE";"SELGAS                                            ";"SELGAS                   "
44;"OVIEDO                                            ";708;"CALLE";"SEMANA LA                                         ";"SEMANA LA                "
44;"OVIEDO                                            ";482;"CALLE";"SEMINARIO                                         ";"SEMINARIO                "
44;"OVIEDO                                            ";2105;"LUGAR";"SENDIN                                            ";"SENDIN                   "
44;"OVIEDO                                            ";483;"CALLE";"SEVERO OCHOA                                      ";"SEVERO OCHOA             "
44;"OVIEDO                                            ";1722;"LUGAR";"SIENRA                                            ";"SIENRA                   "
44;"OVIEDO                                            ";809;"LUGAR";"SIENRA LA                                         ";"SIENRA LA                "
44;"OVIEDO                                            ";770;"CALLE";"SIERO                                             ";"SIERO                    "
44;"OVIEDO                                            ";484;"CALLE";"SILLA DEL REY                                     ";"SILLA DEL REY            "
44;"OVIEDO                                            ";4088;"PLAZA";"SINDICATOS MINEROS                                ";"SINDICATOS MINEROS       "
44;"OVIEDO                                            ";3504;"LUGAR";"SIONES                                            ";"SIONES                   "
44;"OVIEDO                                            ";4018;"PLAZA";"SIXTO ALVAREZ ARMAN                               ";"SIXTO ALVAREZ ARMAN      "
44;"OVIEDO                                            ";4042;"CALLE";"SOBRESCOBIO                                       ";"SOBRESCOBIO              "
44;"OVIEDO                                            ";2705;"LUGAR";"SOGRANDIO DE ABAJO                                ";"SOGRANDIO DE ABAJO       "
44;"OVIEDO                                            ";2706;"LUGAR";"SOGRANDIO DE ARRIBA                               ";"SOGRANDIO DE ARRIBA      "
44;"OVIEDO                                            ";598;"CLLJA";"SOL DEL                                           ";"SOL DEL                  "
44;"OVIEDO                                            ";485;"PLAZA";"SOL DEL                                           ";"SOL DEL                  "
44;"OVIEDO                                            ";855;"LUGAR";"SOLISES LOS                                       ";"SOLISES LOS              "
44;"OVIEDO                                            ";729;"CALLE";"SOMIEDO                                           ";"SOMIEDO                  "
44;"OVIEDO                                            ";1723;"LUGAR";"SOPEÑA-OLLONIEGO                                  ";"SOPEÑA-OLLONIEGO         "
44;"OVIEDO                                            ";2556;"CALLE";"SOR BLANCA ARGOTE                                 ";"SOR BLANCA ARGOTE        "
44;"OVIEDO                                            ";3104;"LUGAR";"SOTIELLO                                          ";"SOTIELLO                 "
44;"OVIEDO                                            ";703;"LUGAR";"SOTO DE ABAJO                                     ";"SOTO DE ABAJO            "
44;"OVIEDO                                            ";709;"LUGAR";"SOTO DE ARRIBA                                    ";"SOTO DE ARRIBA           "
44;"OVIEDO                                            ";792;"CALLE";"SOTO DEL BARCO                                    ";"SOTO DEL BARCO           "
44;"OVIEDO                                            ";2826;"AVDA ";"SOTO MAYOR                                        ";"SOTO MAYOR               "
44;"OVIEDO                                            ";486;"CALLE";"SUAREZ DE LA RIVA                                 ";"SUAREZ DE LA RIVA        "
44;"OVIEDO                                            ";2819;"CALLE";"SUAREZ INCLAN                                     ";"SUAREZ INCLAN            "
44;"OVIEDO                                            ";1868;"CALLE";"SUECIA                                            ";"SUECIA                   "
44;"OVIEDO                                            ";664;"CALLE";"TAHONA LA                                         ";"TAHONA LA                "
44;"OVIEDO                                            ";756;"CALLE";"TALLERES DE CARROS                                ";"TALLERES DE CARROS       "
44;"OVIEDO                                            ";1225;"CALLE";"TAPIA DE CASARIEGO                                ";"TAPIA DE CASARIEGO       "
44;"OVIEDO                                            ";3010;"LUGAR";"TARABICA                                          ";"TARABICA                 "
44;"OVIEDO                                            ";1226;"CALLE";"TARAMUNDI                                         ";"TARAMUNDI                "
44;"OVIEDO                                            ";1823;"LUGAR";"TEJERA LA                                         ";"TEJERA LA                "
44;"OVIEDO                                            ";487;"CALLE";"TEJOS LOS                                         ";"TEJOS LOS                "
44;"OVIEDO                                            ";488;"CALLE";"TELESFORO CUEVAS                                  ";"TELESFORO CUEVAS         "
44;"OVIEDO                                            ";489;"CALLE";"TENDERINA                                         ";"TENDERINA                "
44;"OVIEDO                                            ";493;"CALLE";"TEODOMIRO MENENDEZ                                ";"TEODOMIRO MENENDEZ       "
