540;CALLE;DOCTORAMALIOTELENTI;
662;CALLE;DOCTORANTONIOBASCARANASUNSOLO;
141;CALLE;DOCTORBELLMUNT;
142;CALLE;DOCTORCASAL;
653;CALLE;DOCTOREDUARDOGONZALEZMENENDEZ;
626;CALLE;DOCTORFERNANDOBONGERA;
144;CALLE;DOCTORFLEMING;
143;PSAJE;DOCTORFRANCISCOGARCIADIAZ;
541;CALLE;DOCTORFRANCISCOGRANDECOVIAN;
583;CALLE;DOCTORJOAQUINGARCIAMORAN;
658;CALLE;DOCTORPEDROQUIROS;
625;CALLE;DOCTORSOLISCAJIGAL;
665;CALLE;DOCTORVICENTEVALLINA;
657;AVDA;DOCTORESFERNANDEZVEGA;
4013;PLAZA;DOLORESMEDIO;
2832;CALLE;DOMINGORODRIGUEZ;
519;CALLE;DONVICTORQUINTANAR;
798;PLAZA;DONANTESDESANGRE;
4100;CALLE;DO�AGONTRODO;
145;CALLE;DO�AILUMINADA;
4101;CALLE;DO�AJIMENA;
146;CALLE;ECCEHOMO;
636;CALLE;EDUARDODEFRAGATORREJON;
4156;CALLE;EDUARDOGONZALEZMACANO;
763;PLAZA;EDUARDOGOTALOSADA;
147;CALLE;EDUARDOHERRERAHERRERITA;
148;CALLE;EDUARDOMARTINEZTORNER;
4019;PLAZA;EDUARDOURCULO;
149;CALLE;EMIGRANTE;
542;CALLE;EMILIOALARCOSLLORACH;
4075;PLAZA;EMILIOCASARESRODICIO;
677;CALLE;EMILIOLLANEZA;
150;CALLE;EMILIORODRIGUEZVIGIL;
4076;PLAZA;EMILIOSAGI;
679;CALLE;ENRIQUECLAVEROL;
908;CALLE;ENRIQUEDEOSSO;
578;PQUE;ENRIQUEQUIROSMONTESDEOCA;
4120;PLAZA;ENSE�ANZADELA;
3310;LUGAR;ENTREPE�AS;
1833;LUGAR;ERIALA-COLLOTO;
581;CALLE;ERNESTOWINTERBLANCO;
2101;LUGAR;ESCALONESLOS;
151;PLAZA;ESCANDALERADELA;
1737;LUGAR;ESCOBADIELLESDEABAJO;
1738;LUGAR;ESCOBADIELLESDEARRIBA;
3405;LUGAR;ESCONTIELLA;
4132;CALLE;ESCUELADEMAGISTERIO;
1824;CMNO;ESCUELAS;
152;CALLE;ESCULTORFOLGUERAS;
153;CALLE;ESCULTORLAVIADA;
543;CALLE;ESCULTORNAVASCUES;
154;PLAZA;ESPA�ADE;
2533;LUGAR;ESPRIELLA;
1735;BARRO;ESTACIONDELA-OLLONIEGO;
2544;CTRA;ESTACIONDELA-SANCLAUDIO;
2550;CTRA;ESTACIONDELA-SANROQUE;
2409;LUGAR;ESTACION-PUERTO;
1848;CTRA;ESTRECHALA;
155;CALLE;EUCALIPTOSLOS;
156;CALLE;EUGENIOTAMAYO;
157;CALLE;EUSEBIOGONZALEZABASCAL;
158;CALLE;EVARISTOVALLE;
1103;LUGAR;FABERIN;
2827;LUGAR;FABRICADEARMAS;
2547;CTRA;FABRICADELA;
159;CALLE;FACETOS;
807;LUGAR;FAEDO;
4050;PLAZA;FAMILIATOYOS;
1003;LUGAR;FARODEABAJO;
1004;LUGAR;FARODEARRIBA;
615;CALLE;FAUSTINOGARCIA-ROELRODRIGUEZ;
3329;LUGAR;FAVARIEGALA;
161;CALLE;FAVILA;
3330;LUGAR;FAYALA;
74;CALLE;FEDERICOGARCIALORCA;
162;PLAZA;FEIJOODE;
1602;LUGAR;FELECHES;
163;CALLE;FELIXARAMBURU;
164;CALLE;FERMINCANELLA;
166;CALLE;FERNANDEZDEOVIEDO;
167;CALLE;FERNANDEZJUNCOS;
83;CALLE;FERNANDOALONSO;
4043;PLAZA;FERNANDOALVAREZGARCIA;
170;CALLE;FERNANDODEROJAS;
4051;PLAZA;FERNANDORUBIOBARDON;
171;CALLE;FERNANDOVELA;
172;CALLE;FERNANDOVILLAAMIL;
4109;CALLE;FERNANDOZUAZUA;
2410;LUGAR;FERREDAL;
775;PLAZA;FERROCARRILESECONOMICOSDEASTURIASDELOS;
691;PLAZA;FERROVIARIOSDELOS;
173;CALLE;FIERRO;
3512;LUGAR;FIGARINES;
1865;CALLE;FINLANDIA;
1808;LUGAR;FITORIA;
288;CALLE;FLORATRISTAN;
4004;PASEO;FLORIDADELA;
1711;LUGAR;FOCARADEABAJO;
1743;LUGAR;FOCARADEARRIBA;
910;LUGAR;FOLGUERA;
3002;LUGAR;FOLGUERAS;
174;CALLE;FONCALADA;
175;PLAZA;FONCALADA;
4059;PSAJE;FONTABIAN;
176;CALLE;FONTAN;
4060;PSAJE;FONTANINES,LES;
3204;LUGAR;FOZALGUERA;
4146;CALLE;FRANCISCOARIASDEVELASCOYSARANDESES;
177;CALLE;FRANCISCOBANCESCANDAMO;
179;CALLE;FRANCISCOCAMBO;
607;TRVA;FRANCISCOGONZALEZARG�ELLES;
667;CALLE;FRANCISCOPINTADOFE;
181;CALLE;FRANCISCOREITER;
1221;CALLE;FRANCOEL;
182;CALLE;FRATERNIDAD;
183;CALLE;FRAYCEFERINO;
3620;LUGAR;FRESNO;
199;PLAZA;FRESNODEL;
816;CALLE;FRIALDADEOLIVARESLA;
3609;LUGAR;FRIERA-CRUCES;
1852;LUGAR;FRIERA-LAGRANXA;
185;CALLE;FRUELA;
1731;LUGAR;FUENTEDEABAJO;
1733;LUGAR;FUENTEDEARRIBA;
616;LUGAR;FUENTEDELAPLATA;
1206;LUGAR;FUENTEDELFORNO;
187;CALLE;FUENTEDELPRADO;
1826;LUGAR;FUENTEDELRIO-COLLOTO;
749;CALLE;FUENTEDELRIO-CORREDORIA;
4062;PSAJE;FUENTEELSAPU;
660;PLAZA;FUENTELABRA�A;
186;CALLE;FUENTELAPLATA;
188;CALLE;FUEROEL;
189;CALLE;FUERTESACEVEDO;
570;CALLE;FUMAXIL;
1727;LUGAR;FUMEA;
